title,description_x,release_year,runtime,imdb_id,imdb_score,imdb_votes,show_id,type,director,cast,country,date_added,age_certification,num_releases,listed_in,description_y,num_listed_in,first_cast,cast_freq_mean,genre_freq_mean
Sherlock Holmes,Eccentric consult detective Sherlock Holmes and Doctor John Watson battle to bring down new nemesis and unravel deadly plot could destroy England,2009,129,tt0988045,7.6,620154,s8004,Movie,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Robert Maillet, Geraldine James, Kelly Reilly, William Houston, James Fox, Hans Matheson","United States, Germany, United Kingdom, Australia","January 1, 2021",PG-13,1,"Action & Adventure, Comedies",The game is afoot for an eccentric detective who must use his brains and brawn to track down a nefarious nemesis with the help of his partner.,2,Robert Downey Jr.,5.454545454545454,1192.5
Something's Gotta Give,Harry Sanborn be aged music industry exec with fondness for young woman like Marin his late trophy girlfriend Things get little awkward when Harry suffer heart attack at home of Marin 's mother Erica Left in care of Erica and his doctor love triangle start to take shape,2003,128,tt0337741,6.7,120400,s8056,Movie,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Frances McDormand, Amanda Peet, Jon Favreau, Paul Michael Glaser, Rachel Ticotin",United States,"August 1, 2019",PG-13,1,"Comedies, Romantic Movies","Still sexy at 60, Harry Sanborn wines and dines women half his age. But a getaway with his girlfriend goes awry when her mother drops in unannounced.",2,Jack Nicholson,5.625,1078.5
Grown Ups,After their high school basketball coach pass away five good friend and former teammate reunite for Fourth of July holiday weekend,2010,102,tt1375670,5.9,247229,s28,Movie,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",PG-13,1,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",1,Adam Sandler,10.363636363636363,1574.0
Quantum of Solace,Quantum of Solace continue adventure of James Bond after Casino Royale Betrayed by Vesper woman he love 007 fight urge to make his late mission personal Pursuing his determination to uncover truth Bond and M interrogate Mr. White who reveal that organization blackmail Vesper be far more complex and dangerous than anyone have imagine,2008,106,tt0830515,6.6,441023,s7810,Movie,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini, Gemma Arterton, Jeffrey Wright, David Harbour, Jesper Christensen, Anatole Taubman","United Kingdom, United States","August 31, 2020",PG-13,1,Action & Adventure,"Picking up an hour after the events of 2006's Casino Royale, this James Bond adventure finds 007 tracking a traitor who's infiltrated Britain's MI6.",1,Daniel Craig,5.6,811.0
The Ring,Rachel Keller be journalist investigate videotape may have kill four teenager be urban legend about tape viewer will die seven day after watch it Rachel track down video and watch it Now she have just seven day to unravel mystery of Ring so she can save herself and her son,2002,111,tt0298130,7.1,341888,s8487,Movie,Gore Verbinski,"Naomi Watts, Martin Henderson, David Dorfman, Brian Cox, Jane Alexander, Lindsay Frost, Amber Tamblyn, Rachael Bella, Daveigh Chase, Shannon Cochran",United States,"January 1, 2020",PG-13,1,"Horror Movies, Thrillers",A reporter watches a video that supposedly sets in motion the viewer's death in seven days. Can she unravel the mystery before her own time is up?,2,Naomi Watts,3.2,443.5
Into the Wild,"After graduate from Emory University in 1992 top student and athlete Christopher McCandless abandon his possession give his entire 24,000 saving account to charity and hitchhikes to Alaska to live in wilderness",2007,140,tt0758758,8.1,611379,s1457,Movie,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Catherine Keener, Vince Vaughn, Kristen Stewart, Hal Holbrook, Zach Galifianakis",United States,"January 1, 2021",R,1,"Action & Adventure, Dramas, Independent Movies",A young man gives up everything – including his trust fund and ties to a seemingly stable family – to lead a solitary life in the wild.,3,Emile Hirsch,6.7,1287.6666666666667
Stardust,In countryside town border on magical land young man make promise to his beloved that he 'll retrieve fall star by venture into magical realm His journey take him into world beyond his wild dream and reveal his true identity,2007,122,tt0486655,7.6,269043,s2315,Movie,Matthew Vaughn,"Claire Danes, Michelle Pfeiffer, Robert De Niro, Charlie Cox, Sienna Miller, Ricky Gervais, Jason Flemyng, Rupert Everett, Peter O'Toole, Mark Strong, Kate Magowan, Ian McKellen","United Kingdom, United States","July 1, 2020",PG-13,1,"Action & Adventure, International Movies, Romantic Movies","To win his true love's heart, wide-eyed Tristan Thorn journeys to a forbidden realm to retrieve a fallen star that has taken human form.",3,Claire Danes,5.916666666666667,1262.0
The Book of Eli,post-apocalyptic tale in lone man fight his way across America in order to protect sacred book hold secret to save humankind,2010,118,tt1037705,6.8,312538,s8218,Movie,"Albert Hughes, Allen Hughes","Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson, Jennifer Beals, Evan Jones, Joe Pingue, Frances de la Tour, Michael Gambon, Tom Waits",United States,"July 1, 2019",R,1,"Action & Adventure, Sci-Fi & Fantasy","Determined to protect a sacred text that promises to save humanity, Eli goes on a quest westward across the barren, postapocalyptic country.",2,Denzel Washington,5.6,525.0
Hairspray,Pleasantly plump teenager Tracy Turnblad audition to be on Baltimore 's most popular dance show Corny Collins Show and land prime spot Through her newfound fame she become determine to help her friend and end racial segregation have be staple of show,2007,117,tt0427327,6.7,128190,s6910,Movie,Adam Shankman,"Nikki Blonsky, John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes, James Marsden, Queen Latifah, Zac Efron, Brittany Snow, Allison Janney, Elijah Kelley, Jerry Stiller","United States, United Kingdom, Canada","January 1, 2020",PG,1,"Children & Family Movies, Comedies, Music & Musicals","In 1962, ambitious plus-size teen Tracy Turnblad tries to integrate a racially divided Baltimore one Watusi at a time.",3,Nikki Blonsky,6.25,798.0
Cloudy with a Chance of Meatballs,Inventor Flint Lockwood create machine make cloud rain food enable down-and-out citizen of Chewandswallow to fee themselves But when fall food reach gargantuan proportion Flint must scramble to avert disaster Can he regain control of machine and put end to wild weather before town be destroy,2009,90,tt0844471,6.9,226225,s331,Movie,"Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker","United States, Canada","August 1, 2021",PG,1,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow.",3,Bill Hader,6.0,778.0
Chloe,doctor hire escort to seduce her husband whom she suspect of cheating though unforeseen event put family in danger,2009,99,tt1352824,6.3,72916,s6475,Movie,Atom Egoyan,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","United States, Canada, France","January 1, 2020",R,1,"Independent Movies, Thrillers","Suspecting her husband of infidelity, Catherine hires sexy Chloe to test his faithfulness. Soon, the relationships between all three intensify.",2,Julianne Moore,6.0,645.5
The Lake House,lonely doctor who once occupy unusual lakeside home begin exchange love letter with it former resident frustrated architect They must try to unravel mystery behind their extraordinary romance before it 's too late,2006,105,tt0410297,6.8,148043,s8381,Movie,Alejandro Agresti,"Keanu Reeves, Sandra Bullock, Dylan Walsh, Shohreh Aghdashloo, Ebon Moss-Bachrach, Lynn Collins, Willeke van Ammelrooy, Christopher Plummer",United States,"September 1, 2019",PG,1,"Dramas, Romantic Movies, Sci-Fi & Fantasy","A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart.",3,Keanu Reeves,5.0,1044.0
Terminator 3: Rise of the Machines,It 's be 10 year since John Connor save Earth from Judgment Day and he 's now live under radar steer clear of use anything Skynet can trace be until he encounter T-X robotic assassin order to finish what T-1000 start Good thing Connor 's former nemesis Terminator be back to aid now-adult Connor â€¦ just like he promise,2003,109,tt0181852,6.3,393998,s8167,Movie,Jonathan Mostow,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken, David Andrews, Mark Famiglietti, Earl Boen, Moira Sinise, Chopper Bernet, Christopher Lawford","United States, Germany, United Kingdom","January 1, 2020",R,1,"Action & Adventure, Sci-Fi & Fantasy","Ten years after John Connor saved Earth from Judgment Day, he encounters T-X, a robotic assassin ordered to finish what T-1000 started.",2,Arnold Schwarzenegger,1.8,525.0
Gurren Lagann,In distant future mankind have live quietly and restlessly underground for hundred of year subject to earthquake and cave-ins Living in one such village be 2 young men one name Simon who be shy and naÃ¯ve and other name Kamina who believe in existence of surfaceâ€ world above their head,2007,24,tt0948103,8.3,17024,s5299,TV Show,Unknown,"Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal",Japan,"September 1, 2017",TV-14,1,"Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble.",2,Tetsuya Kakihara,3.25,599.5
Not Another Teen Movie,On bet gridiron hero at John Hughes High School set out to turn bespectacled plain Jane into beautiful and popular prom queen in outrageous send-up of teen movie of 1980s and '90s,2001,89,tt0277371,5.7,104604,s585,Movie,Joel Gallen,"Chyler Leigh, Chris Evans, Jaime Pressly, Eric Christian Olsen, Mia Kirshner, Deon Richmond, Eric Jungmann, Ron Lester, Cody McMains, Sam Huntington, Lacey Chabert, JoAnna Garcia Swisher, Samm Levine, Cerina Vincent",United States,"July 1, 2021",R,1,Comedies,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled artist into a prom queen in this outrageous parody.",1,Chyler Leigh,3.071428571428572,1574.0
21,"Ben Campbell be young highly intelligent student at M.I.T in Boston who strive to succeed Wanting scholarship to transfer to Harvard School of Medicine with desire to become doctor Ben learn that he can not afford 300,000 for four to five year of schooling a he come from poor working-class background But one evening Ben be introduce by his unorthodox math professor Micky Rosa into small but secretive club of five Students Jill Choi Kianna and Fisher who be be train by Professor Rosa of skill of card counting at blackjack",2008,123,tt0478087,6.8,247039,s5960,Movie,Robert Luketic,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",United States,"January 1, 2020",PG-13,1,Dramas,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,1,Jim Sturgess,4.666666666666667,2310.0
Terminator Salvation,grow up in post-apocalyptic 2018 John Connor must lead resistance of human against increasingly dominating militaristic robot But when Marcus Wright appear his existence confuse mission a Connor try to determine whether Wright have come from future or past and whether he 's friend or foe,2009,110,tt0438488,6.5,357557,s8168,Movie,McG,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin, Jadagrace, Bryce Dallas Howard, Common, Jane Alexander, Michael Ironside","United States, Germany, United Kingdom, Italy","January 1, 2020",PG-13,1,"Action & Adventure, Sci-Fi & Fantasy","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against increasingly dominating militaristic robots.",2,Christian Bale,6.6,525.0
Final Destination 3,student 's premonition of deadly rollercoaster ride save her life and lucky few but not from death itself — seek out who escape their fate,2006,93,tt0414982,5.8,139797,s6756,Movie,James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson, Sam Easton, Jesse Moss, Gina Holden, Texas Battle, Chelan Simmons, Crystal Lowe, Amanda Crew","United States, Germany","January 1, 2020",R,1,Horror Movies,"When a girl prevents her premonition of a deadly roller-coaster mishap from coming true, the survivors must face the consequences of cheating death.",1,Mary Elizabeth Winstead,3.0,338.0
Ip Man,semi-biographical account of Yip Man first martial art master to teach Chinese martial art of Wing Chun film focus on event surround Ip take place in city of Foshan between 1930s to 1940s during Second Sino-Japanese War Directed by Wilson Yip film star Donnie Yen in lead role and feature fight choreography by Sammo Hung,2008,108,tt1220719,8.0,221095,s5874,Movie,Wilson Yip,"Donnie Yen, Simon Yam, Louis Fan, Lam Ka Tung, Xing Yu, Wong You-nam, Chen Zhi Hui, Lynn Hung, Hiroyuki Ikeuchi","Hong Kong, China","January 15, 2016",R,1,"Action & Adventure, Dramas, International Movies","An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight – at first.",3,Donnie Yen,3.6666666666666665,1837.6666666666667
Coach Carter,Based on true story in Richmond High School head basketball coach Ken Carter make headline in 1999 for bench his undefeated team due to poor academic result,2005,130,tt0393162,7.3,143670,s6511,Movie,Thomas Carter,"Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan","United States, Germany","January 1, 2020",PG-13,1,"Dramas, Sports Movies",Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.,2,Samuel L. Jackson,4.2727272727272725,1233.5
Monster-in-Law,Office temp Charlotte Cantilini think she 's found Mr Right when she start date gorgeous surgeon Dr. Kevin Fields But 's problem standing in way of everlasting bliss Kevin 's overbearing and control mother Viola Fearing she 'll lose her son 's affection forever Viola decide to break up happy couple by become world 's bad mother-in-law,2005,101,tt0369735,5.5,60693,s7504,Movie,Robert Luketic,"Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes, Adam Scott, Monet Mazur, Annie Parisse, Will Arnett, Elaine Stritch, Stephen Dunham","United States, Germany","January 1, 2020",PG-13,1,"Comedies, Romantic Movies",An office temp thinks she's found Mr. Right when she starts dating a handsome surgeon. But there's a problem standing in the way of everlasting bliss.,2,Jennifer Lopez,5.2,1078.5
The Sweetest Thing,Christina 's love life be stick in neutral After year of avoid hazard of meaningful relationship one night while club-hopping with her girlfriend she meet Peter her perfect match Fed up with play game she finally get courage to let her guard down and follow her heart only to discover Peter have suddenly leave town Accompanied by Courtney she set out to capture one get away,2002,84,tt0253867,5.1,58516,s952,Movie,Roger Kumble,"Cameron Diaz, Christina Applegate, Selma Blair, Thomas Jane, Jason Bateman, Parker Posey, Frank Grillo, Eddie McClintock, Lillian Adams, Johnny Messner",United States,"May 1, 2021",R,1,"Comedies, Romantic Movies","After meeting her potential soul mate, a commitment-averse young woman hits the road with her best friend on a wild, raunchy misadventure to find him.",2,Cameron Diaz,6.2,1078.5
The Final Destination,After young man 's premonition of deadly race-car crash help save life of his peer Death set out to collect who evade their end,2009,82,tt1144884,5.1,104166,s8299,Movie,David R. Ellis,"Bobby Campo, Shantel VanSanten, Nick Zano, Haley Webb, Mykelti Williamson, Krista Allen, Andrew Fiscella, Justin Welborn, Stephanie Honoré",United States,"January 1, 2020",R,1,Horror Movies,"Nick O'Bannon thinks he's cheated death when he keeps a grisly premonition from becoming reality, but he soon realizes that fate has other plans.",1,Bobby Campo,2.0,338.0
Friday the 13th,group of young adult visit board up campsite name Crystal Lake where they soon encounter mysterious Jason Voorhees and his deadly intention,2009,97,tt0758746,5.5,105938,s6805,Movie,Marcus Nispel,"Jared Padalecki, Danielle Panabaker, Amanda Righetti, Travis Van Winkle, Aaron Yoo, Derek Mears, Jonathan Sadowski, Julianna Guill, Ben Feldman, Arlen Escarpeta, Ryan Hansen",United States,"January 1, 2020",R,1,Horror Movies,"A group of teenage camp counselors raises the ire of Jason Voorhees, a masked, homicidal maniac, in this remake of the classic slasher flick.",1,Jared Padalecki,2.727272727272727,338.0
The Bucket List,Corporate billionaire Edward Cole and work class mechanic Carter Chambers be worlds apart At crossroad in their life they share hospital room and discover they have two thing in common desire to spend time they have leave do everything they ever want to do and unrealized need to come to term with who they be Together they embark on road trip of lifetime become friend along way and learning to live life to full with insight and humor,2007,97,tt0825232,7.4,242733,s8230,Movie,Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rob Morrow, Rowena King, Christopher Stapleton, Ian Anthony Dale, Richard McGonagle",United States,"October 1, 2019",PG-13,1,"Comedies, Dramas",Two terminally ill men bust out of the cancer ward with a plan to experience life to the fullest before they kick the bucket.,2,Jack Nicholson,4.2,1942.0
Memoirs of a Geisha,sweeping romantic epic set in Japan in year before World War II penniless Japanese child be torn from her family to work a maid in geisha house,2005,145,tt0397535,7.3,146847,s579,Movie,Rob Marshall,"Zhang Ziyi, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Kaori Momoi, Youki Kudoh, Gong Li, Cary-Hiroyuki Tagawa, Mako Iwamatsu, Navia Nguyen, Karl Yune","France, Japan, United States","July 1, 2021",PG-13,1,"Dramas, Romantic Movies","Sold to a geisha house as a child, a fisherman’s daughter becomes the most sought-after geisha in Kyoto, but rivalries threaten the destiny she desires.",2,Zhang Ziyi,3.090909090909091,1446.5
A Cinderella Story,Routinely exploit by her wicked stepmother downtrodden Samantha Montgomery be excite about prospect of meet her Internet beau at school 's Halloween dance,2004,95,tt0356470,5.9,86395,s128,Movie,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg","United States, Canada","September 1, 2021",PG,1,"Children & Family Movies, Comedies",Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?,2,Hilary Duff,2.933333333333333,1047.5
The Mole,"Players work a team complete series of difficult physical and psychological test worth set amount of money One of player however be Mole or saboteur whose goal be to foil effort of other player without reveal his or her identity At end of episode group be give quiz on Mole 's identity player who know least information about Mole be then immediately send home In final episode Mole be reveal and one remain player win jackpot up to 1,000,000",2001,52,tt0294149,7.6,1104,s658,TV Show,Unknown,Anderson Cooper,United States,"June 21, 2021",TV-14,2,"Reality TV, TV Action & Adventure, TV Mysteries","In this competition show, contestants try to earn $1 million for a pot that only one of them will win — while one player secretly sabotages them.",3,Anderson Cooper,1.0,126.66666666666669
Osmosis Jones,white blood cell policeman with help of cold pill must stop deadly virus from destroy human they live in Frank,2001,95,tt0181739,6.3,35711,s169,Movie,"Bobby Farrelly, Peter Farrelly","Chris Rock, Laurence Fishburne, David Hyde Pierce, Brandy Norwood, William Shatner, Ron Howard, Kid Rock, Ben Stein",United States,"September 1, 2021",PG,1,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,3,Chris Rock,5.75,968.6666666666666
Due Date,Peter Highman must scramble across US in five day to be present for birth of his first child He get off to bad start when his wallet and luggage be steal and put on 'no-fly ' list Peter embark on terrify journey when he accept ride from actor,2010,95,tt1231583,6.5,339626,s931,Movie,Todd Phillips,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh",United States,"May 1, 2021",R,1,"Action & Adventure, Comedies","Days before his pregnant wife's due date, Peter lands on the ""no-fly"" list, forcing him to drive across the country with an irritating slacker.",2,Robert Downey Jr.,7.0,1192.5
3 Idiots,In tradition of Ferris Bueller 's Day Offâ€ come refreshing comedy about rebellious prankster with crafty mind and heart of gold Rascal Joker Dreamer Genius You 've never meet college student quite like Rancho From moment he arrive at India 's most prestigious university Rancho 's outlandish scheme turn campus upside downâ€ ” along with life of his two newfound best friend Together they make life miserable for Virus school 's uptight and heartless dean But when Rancho catch eye of dean 's sexy daughter Virus set his sight on flunk out 3 idiot once and for,2009,170,tt1187043,8.4,385782,s1115,Movie,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",India,"April 1, 2021",PG-13,1,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",3,Aamir Khan,12.375,2092.0
New York Minute,Top student Jane Ryan head to Manhattan for college-scholarship competition Her rebellious twin Roxy Ryan go along to crash video shoot But anything can happen and do in romp involve pursuing truant officer smuggler hunkalicious guy and girl ' realization that when chip be down sister can be best friend of,2004,87,tt0363282,4.8,23307,s7580,Movie,Dennie Gordon,"Mary-Kate Olsen, Ashley Olsen, Eugene Levy, Andy Richter, Riley Smith, Jared Padalecki, Drew Pinsky, Darrell Hammond, Andrea Martin, Alannah Ong, Mary Bond Davis, Bob Saget, Jack Osbourne",United States,"January 1, 2020",PG,1,"Children & Family Movies, Comedies","When bickering teenage twins accidentally land in the middle of a criminal operation, they'll have to work together to get themselves out of trouble.",2,Mary-Kate Olsen,3.076923076923077,1047.5
Monster House,Monsters under bed be scary enough but what happen when entire house be out to get you Three teen aim to find out when they go up against decrepit neighbor home and unlock it frighten secret,2006,91,tt0385880,6.6,114942,s1617,Movie,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James",United States,"December 1, 2020",PG,1,"Children & Family Movies, Comedies","A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people — and a life of its own.",2,Mitchel Musso,5.416666666666667,1047.5
Starsky & Hutch,Join uptight David Starsky and laid-back Ken Hutch Hutchinson a they 're pair for first time a undercover cop new partner must overcome their difference to solve important case with help from street informant Huggy Bear and persuasive criminal Reese Feldman,2004,101,tt0335438,6.1,145981,s810,Movie,Todd Phillips,"Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Fred Williamson, Jason Bateman, Amy Smart, Carmen Electra, George Cheung",United States,"June 2, 2021",PG-13,1,"Action & Adventure, Comedies",New undercover cop partners Starsky and Hutch must overcome their differences to solve an important case with help from street informant Huggy Bear.,2,Ben Stiller,5.4,1192.5
Tears of the Sun,Navy SEAL Lieutenant A.K Waters and his elite squadron of tactical specialist be force to choose between their duty and their humanity between follow order by ignore conflict surround them or find courage to follow their conscience and protect group of innocent refugee When democratic government of Nigeria collapse and country be take over by ruthless military dictator Waters fiercely loyal and hardened veteran be dispatch on routine mission to retrieve Doctors Without Borders physician,2003,121,tt0314353,6.6,121066,s175,Movie,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram, Paul Francis, Chad Smith, Tom Skerritt, Malick Bowens, Awaovieyi Agie",United States,"September 1, 2021",R,1,"Action & Adventure, Dramas","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care.",2,Bruce Willis,3.25,1560.5
Boys Over Flowers,working class girl wind up at exclusive prep school Unassuming high school girl Jan Di stand up to and eventually fall for spoiled rich kid who belong to school 's most powerful clique,2009,64,tt1370334,7.9,11579,s2518,TV Show,Unknown,"Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun, Lee Hye-yeong, Park Ji-bin, Lim Ye-jin, Jeong Ho-bin",South Korea,"May 16, 2020",TV-14,1,"International TV Shows, Korean TV Shows, Romantic TV Shows",Unassuming high school girl Jan-di stands up to – and eventually falls for – a spoiled rich kid who belongs to the school's most powerful clique.,3,Ku Hye-sun,1.4,492.0
I Am Sam,Sam neurodivergent man have daughter with homeless woman who abandon them when they leave hospital leave Sam to raise Lucy on his own But a Lucy grow up Sam 's limitation a parent start to become problem and authority take her away Sam convince high-priced lawyer Rita to take his case pro bono and in turn teach her value of love and family,2001,132,tt0277027,7.6,149082,s798,Movie,Jessie Nelson,"Sean Penn, Michelle Pfeiffer, Dakota Fanning, Dianne Wiest, Loretta Devine, Richard Schiff, Laura Dern, Brad Silverman, Joseph Rosenberg, Stanley DeSantis, Doug Hutchison",United States,"June 2, 2021",PG-13,1,Dramas,"When the legal system declares him unfit to be a parent, a father with an intellectual disability fights to regain custody of his young daughter.",1,Sean Penn,4.636363636363637,2310.0
The Spiderwick Chronicles,Upon move into run-down Spiderwick Estate with their mother twin brother Jared and Simon Grace along with their sister Mallory find themselves pull into alternate world full of faery and other creature,2008,96,tt0416236,6.5,94628,s4066,Movie,Mark Waters,"Freddie Highmore, Mary-Louise Parker, Sarah Bolger, Joan Plowright, David Strathairn, Nick Nolte, Seth Rogen, Andrew McCarthy, Martin Short",United States,"March 1, 2019",PG,1,Children & Family Movies,"When city-raised twins move to a tumbledown country mansion, it's quite an adjustment – especially after they uncover a magical fantasy world.",1,Freddie Highmore,6.111111111111111,521.0
Dead Set,Zombies be rampage throughout Britain Blissfully unaware of gory event outside Big Brother housemate be in for ultimate eviction night,2008,141,tt1285482,7.6,19684,s5803,TV Show,Unknown,"Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak",United Kingdom,"September 1, 2016",TV-MA,1,"British TV Shows, TV Horror, TV Thrillers","While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.",3,Jaime Winstone,2.333333333333333,106.66666666666669
Toradora!,RyÅ « ji Takasu be gentle high school student with love for housework but in contrast to his kind nature he have intimidate face often get him label a delinquent On other hand be Taiga Aisaka small doll-like student who be anything but cute and fragile girl Equipped with wooden katana and feisty personality Taiga be know throughout school a Palmtop Tiger One day embarrass mistake cause two student to cross path RyÅ « ji discovers Taiga actually have sweet side she have crush on popular vice president YÅ « saku Kitamura who happen to be his best friend But thing only get crazy when RyÅ « ji reveals that he have crush on Minori Kushiedaâ€ ” Taiga 's best friend Toradora be romantic comedy follow odd duo a they embark on quest to help other with their respective crush form unlikely alliance in process,2008,30,tt1279024,8.0,14307,s2181,TV Show,Unknown,"Rie Kugimiya, Junji Majima, Yui Horie, Hirofumi Nojima, Eri Kitamura, Sayaka Ohara, Ai Nonaka, Momoko Ishikawa, Hiroyuki Yoshino, Kazuyuki Okitsu, Rie Tanaka, Yuhko Kaida, Saori Goto",Japan,"August 1, 2020",TV-14,1,"Anime Series, International TV Shows, Romantic TV Shows","Menacing in appearance but gentle at heart, Ryūji forms an unlikely friendship with Taiga, a tiny girl with a sharp tongue and a tough attitude.",3,Rie Kugimiya,5.923076923076923,498.0
World Trade Center,Two police officer struggle to survive when they become trapped beneath rubble of World Trade Center on September 11 2001,2006,129,tt0469641,6.0,83129,s8758,Movie,Oliver Stone,"Nicolas Cage, Michael Peña, Maggie Gyllenhaal, Maria Bello, Stephen Dorff, Jay Hernandez, Michael Shannon, Frank Whaley, Jon Bernthal, Morgan Flynn, Nick Damici, Viola Davis, William Mapother",United States,"November 20, 2019",PG-13,1,"Action & Adventure, Dramas","Working under treacherous conditions, an army of dedicated rescuers struggles to find anyone who survived the World Trade Center's tragic collapse.",2,Nicolas Cage,7.3076923076923075,1560.5
The Men Who Stare at Goats,reporter in Iraq might just have story of lifetime when he meet Lyn Cassady guy who claim to be former member of U.S. Army 's New Earth Army unit employ paranormal power in their mission,2009,94,tt1234548,6.2,131564,s8421,Movie,Grant Heslov,"George Clooney, Ewan McGregor, Jeff Bridges, Kevin Spacey, Stephen Lang, Robert Patrick, Waleed Zuaiter, Stephen Root, Glenn Morshower, Nick Offerman, Tim Griffin, Rebecca Mader","United States, United Kingdom","June 4, 2019",R,1,Comedies,"A journalist latches onto an unbelievable story in Iraq when he meets Lyn, a man of mysterious origins who reveals he was a ""warrior monk.""",1,George Clooney,7.0,1574.0
